retailer_key,retailer_name,url,brand,line,size,box_qty,price_override
famous,Famous Smoke Shop,https://www.famous-smoke.com/arturo-fuente-hemingway-classic-cigars-natural,Arturo Fuente,Hemingway,7x48,25,274.99
ci,Cigars International,https://www.cigarsinternational.com/p/arturo-fuente-hemingway-cigars/1410664/,Arturo Fuente,Hemingway,7x48,25,274.05
atlantic,Atlantic Cigar,https://atlanticcigar.com/arturo-fuente-hemingway-classic-natural/,Arturo Fuente,Hemingway,7x48,25,272.95
neptune,Neptune Cigar,https://www.neptunecigar.com/cigars/arturo-fuente-hemingway-classic,Arturo Fuente,Hemingway,7x48,25,273.94
bestcigar,Best Cigar Prices,https://www.bestcigarprices.com/cigar-directory/arturo-fuente-hemingway-cigars/arturo-fuente-hemingway-classic-13923/,Arturo Fuente,Hemingway,7x48,25,273.97
cigarcountry,Cigar Country,https://cigarcountry.com/product/arturo-fuente-hemingway-natural-classic/,Arturo Fuente,Hemingway,7x48,25,249.04
oldhavana,Old Havana Cigar Co.,https://www.oldhavanacigarco.com/product/fuente-af-hemingway-natural-classic-box/1587,Arturo Fuente,Hemingway,7x48,25,283.50
nickscigarworld,Nick's Cigar World,https://nickscigarworld.com/shop/premium-cigars/arturo-fuente-hemingway/arturo-fuente-hemingway-classic/,Arturo Fuente,Hemingway,7x48,25,235.95
cigarboxpa,Cigar Box PA,https://www.cigarboxpa.com/af-hemingway-signature-natural-box.html,Arturo Fuente,Hemingway,7x48,25,274.99
tampasweethearts,Tampa Sweethearts,https://www.tampasweethearts.com/hemingwayclassic.aspx,Arturo Fuente,Hemingway,7x48,25,248.95
cdmcigars,CDM Cigars,https://www.cdmcigars.com/shop/cigars/brand/arturo-fuente/hemingway/arturo-fuente-hemingway-classic-natural/,Arturo Fuente,Hemingway,7x48,25,263.00
smokeinn,Smoke Inn,https://www.smokeinn.com/arturo-fuente-cigars/fuente-hemingway-classics.html,Arturo Fuente,Hemingway,7x48,25,248.95
holts,Holt's Cigar Company,https://www.holts.com/cigars/all-cigar-brands/arturo-fuente-hemingway.html,Arturo Fuente,Hemingway,7x48,25,282.95
cuencacigars,Cuenca Cigars,https://www.cuencacigars.com/arturo-fuente-hemingway-v-classic-cigars-box-of-25/,Arturo Fuente,Hemingway,7x48,25,273.94
thecigarshop,The Cigar Shop,https://www.thecigarshop.com/arturo-fuente-hemingway-classic-natural-box-of-25.html,Arturo Fuente,Hemingway,7x48,25,316.97
cigarhustler,Cigar Hustler,https://cigarhustler.com/arturo-fuente-hemingway-c-1_178/arturo-fuente-hemingway-classic-v-natural-cigar-box-p-4927.html,Arturo Fuente,Hemingway,7x48,25,265.00
ci,Cigars International,https://www.cigarsinternational.com/p/excalibur-cigars/1411249/,Hoyo de Monterrey,Excalibur,5.2x50,20,156.99
thecigarstore,The Cigar Store,https://www.thecigarstore.com/Cigars/Hoyo-de-Monterrey-Excalibur-Cigars/Hoyo-de-Monterrey-Excalibur-Epicure.htm,Hoyo de Monterrey,Excalibur,5.2x50,20,198.76
cigarplace,Cigar Place,https://www.cigarplace.biz/excalibur-natural-epicure.html,Hoyo de Monterrey,Excalibur,5.2x50,20,139.95
bestcigar,Best Cigar Prices,https://www.bestcigarprices.com/cigar-directory/excalibur-cigars/excalibur-epicures-natural-4656/?srsltid=AfmBOop7KES4yE9fKdqWK3TCszTftBCre-lqwSNlzTiLh5ITpuPRdypk,Hoyo de Monterrey,Excalibur,5.2x50,20,152.99
tobaccolocker,Tobacco Locker,https://tobaccolocker.com/collections/general/products/hoyo-de-monterrey-excalibur-epicures-natural-cigar?variant=44034520219822,Hoyo de Monterrey,Excalibur,5.2x50,20,135.35
famous,Famous Smoke Shop,https://www.famous-smoke.com/excalibur-epicure-cigars-natural,Hoyo de Monterrey,Excalibur,5.2x50,20,147.95
atlantic,Atlantic Cigar,https://atlanticcigar.com/hoyo-de-monterrey-excalibur-epicures-natural/,Hoyo de Monterrey,Excalibur,5.2x50,20,136.85
mikescigars,Mike's Cigars,https://mikescigars.com/excalibur-epicures-exep,Hoyo de Monterrey,Excalibur,5.2x50,20,138.95
bonitasmokeshop,Bonita Smoke Shop,https://bonitasmokeshop.com/hoyo-de-monterrey-excalibur-epicure-natural-5-25x50/,Hoyo de Monterrey,Excalibur,5.2x50,20,152.44
neptune,Neptune Cigar,https://www.neptunecigar.com/excalibur-cigar,Hoyo de Monterrey,Excalibur,5.2x50,20,152.95
windycitycigars,Windy City Cigars,https://windycitycigars.com/excalibur-epicure-natural-cigars-5-14-x-50-box-of-20/,Hoyo de Monterrey,Excalibur,5.2x50,20,167.73
absolutecigars,Absolute Cigars,https://absolutecigars.com/product/hoyo-de-monterrey-excalibur-epicure-natural/,Hoyo de Monterrey,Excalibur,5.2x50,20,147.00
holts,Holt's Cigar Company,https://www.holts.com/cigars/all-cigar-brands/excalibur.html,Hoyo de Monterrey,Excalibur,5.2x50,20,152.24
cubancrafters,Cuban Crafters,https://cubancrafters.com/hoyo-de-monterrey-excalibur-english-claro-epicure-5-1-4-x-50/,Hoyo de Monterrey,Excalibur,5.2x50,20,200.20
cigar,Cigar.com,https://www.cigar.com/p/hoyo-excalibur-cigars/1411249/,Hoyo de Monterrey,Excalibur,5.2x50,20,113.99
pipesandcigars,Pipes and Cigars,https://www.pipesandcigars.com/product/hoyo-excalibur/HEA-PM.html,Hoyo de Monterrey,Excalibur,5.2x50,20,156.99
nickscigarworld,Nick's Cigar World,https://nickscigarworld.com/shop/premium-cigars/hoyo-de-monterrey-excalibur/excalibur-by-hoyo-de-monterrey-epicure-ems/,Hoyo de Monterrey,Excalibur,5.2x50,20,150.95
planetcigars,Planet Cigars,https://www.planetcigars.com/excalibur/excalibur-epicures-natural,Hoyo de Monterrey,Excalibur,5.2x50,20,132.97
neptune,Neptune Cigar,https://www.neptunecigar.com/cigars/norteno-lonsdale,Drew Estate,Herrera Esteli Norteno,6.5x44,25,224.95
cubancrafters,Cuban Crafters,https://cubancrafters.com/drew-estate-herrera-esteli-norteno-lonsdale-deluxe-6-x-44/,Drew Estate,Herrera Esteli Norteno,6.5x44,25,238.50
ci,Cigars International,https://www.cigarsinternational.com/p/drew-estate-herrera-esteli-norteno-cigars/2016372/,Drew Estate,Herrera Esteli Norteno,6.5x44,25,163.99
cigarplace,Cigar Place,https://www.cigarplace.biz/all-brands/herrera-esteli-cigars/herrera-esteli-norteno.html,Drew Estate,Herrera Esteli Norteno,6.5x44,25,183.95
smallbatchcigar,Small Batch Cigar,https://www.smallbatchcigar.com/herrera-esteli-norteno-lonsdale-2,Drew Estate,Herrera Esteli Norteno,6.5x44,25,284.00
bestcigar,Best Cigar Prices,https://www.bestcigarprices.com/cigar-directory/herrera-esteli-cigars/herrera-esteli-norteno-lonsdale-deluxe-box~press-235523/?srsltid=AfmBOopMrK3y3ZVatAeFasdkkLaIuTZANViuMHfRcZeMpgfGaSeKSy7t,Drew Estate,Herrera Esteli Norteno,6.5x44,25,224.99
niceashcigars,Nice Ash Cigars,https://www.niceashcigars.com/product-p/hen6544d.htm,Drew Estate,Herrera Esteli Norteno,6.5x44,25,296.32
cigarsdirect,Cigars Direct,https://www.cigarsdirect.com/collections/herrera-esteli-by-drew-estate-norteno/products/herrera-esteli-by-drew-estate-norteno-lonsdale?variant=31084935413857,Drew Estate,Herrera Esteli Norteno,6.5x44,25,246.38
bonitasmokeshop,Bonita Smoke Shop,https://bonitasmokeshop.com/herrera-esteli-norte-o-lonsdale-deluxe/,Drew Estate,Herrera Esteli Norteno,6.5x44,25,224.48
cigar,Cigar.com,https://www.cigar.com/p/drew-estate-herrera-esteli-norteno-ii-cigars/2013657/,Drew Estate,Herrera Esteli Norteno,6.5x44,25,224.99
secretocigarbar,Secreto Cigar Bar,https://secretocigarbar.com/products/herrera-norteno-lonsdale,Drew Estate,Herrera Esteli Norteno,6.5x44,25,235.00
thompson,Thompson Cigar,https://www.thompsoncigar.com/p/herrera-esteli-norteno-lonsdale-deluxe-san-andres/101530/,Drew Estate,Herrera Esteli Norteno,6.5x44,25,224.99
momscigars,Mom's Cigars,https://www.momscigars.com/products/herrera-esteli-norteno,Drew Estate,Herrera Esteli Norteno,6.5x44,25,169.99
smokeinn,Smoke Inn,https://www.smokeinn.com/Drew-Estate-Herrera-Esteli-Norteno/,Drew Estate,Herrera Esteli Norteno,6.5x44,25,224.95
bighumidor,Big Humidor,https://www.bighumidor.com/index.cfm?ref=80200&ref2=6377,Drew Estate,Herrera Esteli Norteno,6.5x44,25,211.95
nickscigarworld,Nick's Cigar World,https://nickscigarworld.com/shop/premium-cigars/herrera-esteli-norteno/herrera-esteli-norteno-lonsdale-deluxe/,Drew Estate,Herrera Esteli Norteno,6.5x44,25,215.95
ci,Cigars International,https://www.cigarsinternational.com/p/padron-1964-anniversary-series-maduro/2035410/,Padron,1964 Anniversary,7x50,25,455
neptune,Neptune Cigar,https://www.neptunecigar.com/cigars/padron-1964-anniversary-diplomatico-maduro,Padron,1964 Anniversary,7x50,25,435
holts,Holt's Cigar Company,https://www.holts.com/cigars/all-cigar-brands/padron-1964-anniversary.html,Padron,1964 Anniversary,7x50,25,455
cubancrafters,Cuban Crafters,https://cubancrafters.com/padron-diplomatico-maduro-1964/,Padron,1964 Anniversary,7x50,25,477.95
jr,JR Cigar,https://www.jrcigars.com/item/padron-1964-anniversary-series/diplomatico-maduro/PD64D3.html,Padron,1964 Anniversary,7x50,25,477.99
nickscigarworld,Nick's Cigar World,https://nickscigarworld.com/shop/premium-cigars/padron-1964-anniversary-series/padron-1964-anniversario-diplomatico-maduro/,Padron,1964 Anniversary,7x50,25,455
cigarcountry,Cigar Country,https://cigarcountry.com/product/padron-1964-anniversary-series-diplomatico-maduro/,Padron,1964 Anniversary,7x50,25,425
casademontecristo,Casa de Montecristo,https://www.casademontecristo.com/item/padron-1964-anniversary-series/diplomatico-maduro/PD64D3.html,Padron,1964 Anniversary,7x50,25,455
cigarplace,Cigar Place,https://www.cigarplace.biz/padron-1964-diplomatico-maduro.html,Padron,1964 Anniversary,7x50,25,431.95
mikescigars,Mike's Cigars,https://mikescigars.com/padron-1964-anniversary-diplomatico-churchill-pd64di3,Padron,1964 Anniversary,7x50,25,455
abcfws,ABC Fine Wine & Spirits,https://abcfws.com/cigars/padron-1964-anniversary-series-maduro-diplomatico-churchill/684271?srsltid=AfmBOor5XPK36rKJ8G5SbPZatR9p3w0I5hEJOPybCVUWt487-AEWqeTt,Padron,1964 Anniversary,7x50,25,404.79
atlantic,Atlantic Cigar,https://atlanticcigar.com/padron-1964-anniversary-diplomatico-maduro/,Padron,1964 Anniversary,7x50,25,455
cigarcellarofmiami,Cigar Cellar of Miami,https://cigarcellarofmiami.com/product/padron-1964-aniversario-diplomatico-maudro-25-ct-box/,Padron,1964 Anniversary,7x50,25,422.50
cccrafter,cccrafter.com,https://cccrafter.com/padron-1964-anniversary-diplomat-maduro-50-x-7/?srsltid=AfmBOoqmfxYjt_zyqODJzl-gc0i30buBieA2-cTZN1VW8KyFwSmAR_I5,Padron,1964 Anniversary,7x50,25,399
twoguys,Two Guys Cigars,https://www.2guyscigars.com/padron-ani-diplomatico-mad-160135/,Padron,1964 Anniversary,7x50,25,454.99
famous,Famous Smoke Shop,https://www.famous-smoke.com/brand/padron-1964-anniversary-maduro-cigars/padron-1964-anniversary-maduro-diplomatico-cigars,Padron,1964 Anniversary,7x50,25,455
thompson,Thompson Cigar,https://www.thompsoncigar.com/p/padron-1964-aniversario-diplomatico-maduro/72992/,Padron,1964 Anniversary,7x50,25,455
santamonicacigars,Santa Monica Cigars,https://santamonicacigars.com/products/padron-1964-anniversary-diplomatico-maduro?srsltid=AfmBOorOXnn699ir9_Z2togOS2M3PDUCjmrTYfX1KEZdBVrKY-r0J5IT,Padron,1964 Anniversary,7x50,25,875
cigar,Cigar.com,https://www.cigar.com/p/padron-1964-anniversary-series-cigars/1474728/,Padron,1964 Anniversary,7x50,25,455
watchcity,Watch City Cigar,https://watchcitycigar.com/padron-1964-anniversary-series-diplomatico-maduro-50-x-7/,Padron,1964 Anniversary,7x50,25,409.50
lmcigars,LM Cigars,https://lmcigars.com/product/padron-1964-anniversary-series-diplomatico-maduro/?srsltid=AfmBOopwcB9QPlgrkCuI0VsJJPLkH6ewBUF9OYA15ItFeoDYtYHyBHZX,Padron,1964 Anniversary,7x50,25,455
hilands,Hiland's Cigars,https://www.hilandscigars.com/shop/cigars/padron/padron-1964-anniversary-series/padron-1964-anniversary-diplomatico-maduro/,Padron,1964 Anniversary,7x50,25,439.98
corona,Corona Cigar,https://www.coronacigar.com/padron-anniversary-1964-natural-diplomatic/?srsltid=AfmBOor1rLGxXsO-IabS8EDyPJ1VzW9AXKdrs998OexCOHqCGVnEr-f4,Padron,1964 Anniversary,7x50,25,455
cigarking,Cigar King,https://www.cigarking.com/copy-of-padron-1964-diplomatico-maduro-7x50-box-25-lmr3/,Padron,1964 Anniversary,7x50,25,454.95
abcfws,ABC Fine Wine & Spirits,https://abcfws.com/cigars/padron-1964-anniversary-series-maduro-diplomatico-churchill/684271?srsltid=AfmBOor5XPK36rKJ8G5SbPZatR9p3w0I5hEJOPybCVUWt487-AEWqeTt,Padron,1964 Anniversary,7x50,25,404.79
